Category,Price,Data,Validity,Other Benefits
Data,₹451,50GB,30 Days,JioHotstar Mobile for 3 months
Data,₹361,50GB,30 days,None
Data,₹211,1GB /day,30 days,None
Data,₹195,15GB,90 Days,JioHotstar Mobile for 3 months
Data,₹181,15GB,30 days,Airtel Xstream Play Premium (includes 22+ OTTs)
Data,₹161,12 GB,30 days,None
Data,₹149,1GB,N/A,Airtel Xstream Play Premium (includes 22+ OTTs)
Data,₹121,6GB,30 days,None
Data,₹100,5GB,30 Days,JioHotstar Mobile for 30 days
Data,₹99,N/A,2 Days,None
Data,₹77,5GB,7 days,None
Data,₹49,N/A,1 Day,None
Data,₹33,2GB,1 Day,None
Data,₹26,1.5GB,1 day,None
Data,₹22,1GB,1 Day,None
Data,₹11,N/A,1 hour,None
Data,₹1098,N/A,N/A,None
Data,₹798,N/A,N/A,None
Data,₹2998,N/A,N/A,None
Data,₹4000,N/A,N/A,None
Data,₹648,N/A,N/A,None
Data,₹98,N/A,N/A,None
Data,₹699,N/A,N/A,None
Data,₹3599,2GB /day,365 Days,"Unlimited 5G Data, India’s 1st Spam Fighting Network"
Data,₹3999,2.5GB /day,365 Days,"JioHotstar Mobile for 1 year, Unlimited 5G Data"
Data,₹1199,2.5GB /day,84 Days,"Amazon Prime Lite, Unlimited 5G Data"
Data,₹979,N/A,84 Days,"Airtel Xstream Play Premium (includes 22+ OTTs), Unlimited 5G Data"
Data,₹929,N/A,90 Days,"India’s 1st Spam Fighting Network, Watch free TV shows, Movies, Live channels and much more"
Data,₹859,1.5GB /day,84 Days,"India’s 1st Spam Fighting Network, RewardsMini Subscription"
Data,₹838,N/A,56 Days,"Amazon Prime Lite, Unlimited 5G Data"
Data,₹799,N/A,77 Days,"India’s 1st Spam Fighting Network, Apollo 24|7 Circle"
Data,₹649,N/A,56 Days,"Unlimited 5G Data, India’s 1st Spam Fighting Network"
Data,₹619,N/A,60 Days,"India’s 1st Spam Fighting Network, Watch free TV shows, Movies, Live channels and much more"
Data,₹549,3 GB per day,28 Days,"JioHotstar Mobile for 3 months, India’s 1st Spam Fighting Network"
Data,₹579,N/A,56 Days,"India’s 1st Spam Fighting Network, Watch free TV shows, Movies, Live channels and much more"
Data,₹449,N/A,28 days,"Airtel Xstream Play Premium (includes 22+ OTTs), Unlimited 5G Data"
Data,₹429,N/A,1 MONTH,"Unlimited 5G Data, India’s 1st Spam Fighting Network"
Data,₹379,2GB /day,1 Month,"Unlimited 5G Data, India’s 1st Spam Fighting Network"
Data,₹349,N/A,28 Days,"India’s 1st Spam Fighting Network, Apollo 24|7 Circle"
Data,₹355,25GB,30 Days,"India’s 1st Spam Fighting Network, Watch free TV shows, Movies, Live channels and much more"
Data,₹299,N/A,28 Days,"India’s 1st Spam Fighting Network, Free hellotunes for you"
Data,₹249,N/A,24 Days,"India’s 1st Spam Fighting Network, Watch free TV shows, Movies, Live channels and much more"
Data,₹199,2GB,28 Days,"India’s 1st Spam Fighting Network, Watch free TV shows, Movies, Live channels and much more"
Data,₹219,3GB,28 Days,"India’s 1st Spam Fighting Network, Watch free TV shows, Movies, Live channels and much more"
Data,₹2249,30GB,365 Days,"India’s 1st Spam Fighting Network, Apollo 24|7 Circle"
Data,₹1849,,365 Days,"India’s 1st Spam Fighting Network, Apollo 24|7 Circle"
Data,₹1798,N/A,84 Days,"Netflix Basic, Unlimited 5G Data"
Data,₹1029,N/A,84 Days,"JioHotstar Mobile for 3 months, Unlimited 5G Data"
Data,₹609,60GB,1 month,"India’s 1st Spam Fighting Network, Watch free TV shows, Movies, Live channels and much more"
Data,₹589,50GB,30 days,"India’s 1st Spam Fighting Network, Watch free TV shows, Movies, Live channels and much more"
Data,₹548,7 GB,84 Days,"India’s 1st Spam Fighting Network, Apollo 24|7 Circle"
Data,₹489,6 GB,77 days,"India’s 1st Spam Fighting Network, Apollo 24|7 Circle"
Data,₹469,,84 Days,"India’s 1st Spam Fighting Network, Apollo 24|7 Circle"
Data,₹409,N/A,28 days,"Airtel Xstream Play Premium (includes 22+ OTTs), Unlimited 5G Data"
Data,₹398,N/A,28 Days,"JioHotstar Mobile for 28 days, Unlimited 5G Data"
Data,₹301,N/A,28 Days,"JioHotstar Mobile for 3 months, Apollo 24|7 Circle"
Data,₹5000,N/A,NA,None
Data,₹1000,N/A,NA,None
Data,₹500,N/A,NA,None
Data,₹120,N/A,NA,None
Data,₹10,N/A,NA,None
Data,₹295,N/A,N/A,None
Data,₹595,N/A,N/A,None
Data,₹196,N/A,N/A,None
Data,₹3599,2GB /day,365 Days,"Unlimited 5G Data, India’s 1st Spam Fighting Network"
Data,₹3999,2.5GB /day,365 Days,"JioHotstar Mobile for 1 year, Unlimited 5G Data"
Data,₹609,60GB,1 month,"India’s 1st Spam Fighting Network, Watch free TV shows, Movies, Live channels and much more"
Data,₹589,50GB,30 days,"India’s 1st Spam Fighting Network, Watch free TV shows, Movies, Live channels and much more"
International Roaming,₹451,50GB,30 Days,JioHotstar Mobile for 3 months
International Roaming,₹361,50GB,30 days,None
International Roaming,₹211,1GB /day,30 days,None
International Roaming,₹195,15GB,90 Days,JioHotstar Mobile for 3 months
International Roaming,₹181,15GB,30 days,Airtel Xstream Play Premium (includes 22+ OTTs)
International Roaming,₹161,12 GB,30 days,None
International Roaming,₹149,1GB,N/A,Airtel Xstream Play Premium (includes 22+ OTTs)
International Roaming,₹121,6GB,30 days,None
International Roaming,₹100,5GB,30 Days,JioHotstar Mobile for 30 days
International Roaming,₹99,N/A,2 Days,None
International Roaming,₹77,5GB,7 days,None
International Roaming,₹49,N/A,1 Day,None
International Roaming,₹33,2GB,1 Day,None
International Roaming,₹26,1.5GB,1 day,None
International Roaming,₹22,1GB,1 Day,None
International Roaming,₹11,N/A,1 hour,None
