plan_type,category,price,data,validity,calls,sms,benefits
Mobile Prepaid,All Plans,₹1798,"₹1798
Unlimited local, STD & Roaming Calls
3GB
/Day
84 Days
validity
Additional Benefit(s)
Netflix Basic
Unlimited 5G Data
₹1798
+3 More","₹1798
Unlimited local, STD & Roaming Calls
3GB
/Day
84 Days
validity
Additional Benefit(s)
Netflix Basic
Unlimited 5G Data
₹1798
+3 More","₹1199
Unlimited Local STD & Roaming calls Calls
2.5GB
/day
84 Days
validity
Additional Benefit(s)
Amazon Prime Lite
Unlimited 5G Data
₹1199
+4 More",N/A,Netflix Basic | Unlimited 5G Data | JioHotstar Super | Amazon Prime Lite | JioHotstar Mobile for 3 months
Mobile Prepaid,All Plans,₹1729,"₹1729
Unlimited local, STD & Roaming Calls
2GB
/day
84 Days
validity
Additional Benefit(s)
Netflix Basic
JioHotstar Super
₹1729
+4 More","₹1729
Unlimited local, STD & Roaming Calls
2GB
/day
84 Days
validity
Additional Benefit(s)
Netflix Basic
JioHotstar Super
₹1729
+4 More",N/A,N/A,Netflix Basic | JioHotstar Super
Mobile Prepaid,All Plans,₹1199,"₹1199
Unlimited Local STD & Roaming calls Calls
2.5GB
/day
84 Days
validity
Additional Benefit(s)
Amazon Prime Lite
Unlimited 5G Data
₹1199
+4 More","₹1199
Unlimited Local STD & Roaming calls Calls
2.5GB
/day
84 Days
validity
Additional Benefit(s)
Amazon Prime Lite
Unlimited 5G Data
₹1199
+4 More","₹1199
Unlimited Local STD & Roaming calls Calls
2.5GB
/day
84 Days
validity
Additional Benefit(s)
Amazon Prime Lite
Unlimited 5G Data
₹1199
+4 More",N/A,Amazon Prime Lite | Unlimited 5G Data
Mobile Prepaid,All Plans,₹1029,"₹1029
Unlimited local STD & Roaming Calls
2GB
/Day
84 Days
validity
Additional Benefit(s)
JioHotstar Mobile for 3 months
Unlimited 5G Data
₹1029
+4 More","₹1029
Unlimited local STD & Roaming Calls
2GB
/Day
84 Days
validity
Additional Benefit(s)
JioHotstar Mobile for 3 months
Unlimited 5G Data
₹1029
+4 More",N/A,N/A,JioHotstar Mobile for 3 months | Unlimited 5G Data
Mobile Prepaid,All Plans,₹979,"₹979
Unlimited local STD & Roaming Calls
2GB
/Day
84 Days
validity
Additional Benefit(s)
Airtel Xstream Play Premium (includes 22+ OTTs)
Unlimited 5G Data
₹979
+3 More","₹979
Unlimited local STD & Roaming Calls
2GB
/Day
84 Days
validity
Additional Benefit(s)
Airtel Xstream Play Premium (includes 22+ OTTs)
Unlimited 5G Data
₹979
+3 More",N/A,N/A,Airtel Xstream Play Premium (includes 22+ OTTs) | Unlimited 5G Data
Mobile Prepaid,All Plans,₹838,"₹838
Unlimited local STD & Roaming Calls
3GB
/Day
56 Days
validity
Additional Benefit(s)
Amazon Prime Lite
Unlimited 5G Data
₹838
+3 More","₹838
Unlimited local STD & Roaming Calls
3GB
/Day
56 Days
validity
Additional Benefit(s)
Amazon Prime Lite
Unlimited 5G Data
₹838
+3 More",N/A,N/A,Amazon Prime Lite | Unlimited 5G Data
Mobile Prepaid,All Plans,₹598,"₹598
Unlimited local, STD & Roaming Calls
2GB
/day
28 Days
validity
Additional Benefit(s)
Netflix Basic
JioHotstar Super
₹598
+4 More","₹598
Unlimited local, STD & Roaming Calls
2GB
/day
28 Days
validity
Additional Benefit(s)
Netflix Basic
JioHotstar Super
₹598
+4 More",N/A,N/A,Netflix Basic | JioHotstar Super
Mobile Prepaid,All Plans,₹449,"₹449
Unlimited local STD & Roaming Calls
3GB
/Day
28 days
validity
Additional Benefit(s)
Airtel Xstream Play Premium (includes 22+ OTTs)
Unlimited 5G Data
₹449
+2 More","₹449
Unlimited local STD & Roaming Calls
3GB
/Day
28 days
validity
Additional Benefit(s)
Airtel Xstream Play Premium (includes 22+ OTTs)
Unlimited 5G Data
₹449
+2 More",N/A,N/A,Airtel Xstream Play Premium (includes 22+ OTTs) | Unlimited 5G Data
Mobile Prepaid,All Plans,₹398,"₹398
Unlimited local, STD & Roaming Calls
2GB
/Day
28 Days
validity
Additional Benefit(s)
JioHotstar Mobile for 28 days
Unlimited 5G Data
₹398
+2 More","₹398
Unlimited local, STD & Roaming Calls
2GB
/Day
28 Days
validity
Additional Benefit(s)
JioHotstar Mobile for 28 days
Unlimited 5G Data
₹398
+2 More",N/A,N/A,JioHotstar Mobile for 28 days | Unlimited 5G Data
Mobile Prepaid,All Plans,₹279,"₹279
1GB
data
1 month
validity
Additional Benefit(s)
Netflix Basic
JioHotstar Super
₹279
+2 More","₹279
1GB
data
1 month
validity
Additional Benefit(s)
Netflix Basic
JioHotstar Super
₹279
+2 More",N/A,N/A,Netflix Basic | JioHotstar Super
